Country,24-hourcheck-in,airconditioning,breakfast,buzzer/wirelessintercom,cabletv,carbonmonoxidedetector,doorman,dryer,elevatorinbuilding,essentialamenities(>40%oflistings),essentials,family/kidfriendly,fireextinguisher,firstaidkit,freeparkingonpremises,gym,hairdryer,hangers,heating,indoorfireplace,internet,iron,kitchen,laptopfriendlyworkspace,lockonbedroomdoor,petsallowed,petsliveonthisproperty,pool,safetycard,shampoo,smokedetector,translationmissing:en.hosting_amenity_49,translationmissing:en.hosting_amenity_50,tv,washer,wirelessinternet
SwitzerlandHouse,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes
SwitzerlandApartment,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes
SpainVilla,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes
SpainTownhouse,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes
SpainOther,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,yes
SpainLoft,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes
SpainHouse,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes
SpainGuesthouse,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
SpainDorm,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
SpainCondominium,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,yes
SpainChalet,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes
